#-----------------------------------------------------------------------------
# Date d'extraction : 31/10/2025 - 15h46 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023_DISTRIBUTION
# Modele     : MIN
#-----------------------------------------------------------------------------
# Niveaux de réchauffement :
#     REF : Référence
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTMm_yr : Température moyenne annuelle (°C)
#     NORTMm_seas_JJA : Température moyenne en été (°C)
#     NORTMm_seas_DJF : Température moyenne en hiver (°C)
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX35D_yr : Nombre de jours avec Tx >= 35°C (jour(s))
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORTR_yr : Nombre de nuits tropicales (jour(s))
#     NORRR_yr : Cumul de précipitations annuelles (mm)
#     NORRR_seas_JJA : Cumul de précipitations en été (mm)
#     NORRR_seas_DJF : Cumul de précipitations en hiver (mm)
#     NORRRq99_yr : Cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien) (mm)
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORRRq99refD_yr : Fréquence des précipitations quotidienne remarquables (jour(s))
#     NORIFM40_yr : Indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Niveau;NORTMm_yr;NORTMm_seas_JJA;NORTMm_seas_DJF;NORTXm_seas_JJA;NORTX35D_yr;NORTX30D_yr;NORTR_yr;NORRR_yr;NORRR_seas_JJA;NORRR_seas_DJF;NORRRq99_yr;NORRx1d_yr;NORRRq99refD_yr;NORIFM40_yr;NORSWI04_yr;
#-----------------------------------------------------------------------------
4752;43.8763;-1.0945;REF;12.71;19.66;5.93;24.68;0.9;14.3;3.1;1121.47;186.18;303.64;29.26;42.02;3.6;0;32;
4753;43.8794;-0.9952;REF;12.71;19.66;5.92;24.67;1;14.2;3.4;1124.6;183.14;303.83;29.2;41.66;3.5;0;26;
4754;43.8824;-0.8959;REF;12.81;19.78;6;24.86;1.1;14.9;3.9;1115.31;180.43;302.33;29.25;41.34;3.4;0;28;
4755;43.8853;-0.7965;REF;12.87;19.87;6.04;24.98;1.1;15.4;4;1105.82;179.49;302.01;28.97;42.42;3.4;0;38;
4756;43.8882;-0.6972;REF;13.09;20.45;5.93;25.56;1.4;18.5;4.3;975.67;175.8;249.85;25.5;37.95;3.6;0;61;
4757;43.8909;-0.5978;REF;13.02;20.36;5.88;25.42;1.4;17.6;4.7;980.85;176.25;251.46;25.51;38.15;3.5;0;51;
4758;43.8935;-0.4984;REF;12.99;20.32;5.86;25.36;1.4;17.4;4.6;983.17;176.71;251.47;25.56;37.77;3.5;0;55;
4759;43.8961;-0.399;REF;12.95;20.26;5.83;25.25;1.3;16.9;4.8;985.74;177.88;252.49;25.79;37.91;3.6;0;58;
4760;43.8985;-0.2996;REF;12.98;20.41;5.8;25.58;1.9;18.6;4.5;845;160.35;211.68;22.51;33.95;3.6;0;85;
4893;43.9417;-1.2978;REF;13.51;19.76;7.26;23.63;0.3;7.5;6.4;1154.1;193.68;305.13;30;41.45;3.5;0;50;
4894;43.945;-1.1983;REF;13.38;19.61;7.16;23.4;0.3;7;6.1;1165.83;195.75;308.05;30.27;41.8;3.6;0;37;
4895;43.9482;-1.0989;REF;12.7;19.65;5.91;24.66;1;14;3.3;1126.13;184.23;303.97;29.18;42.58;3.6;0;28;
4896;43.9513;-0.9994;REF;12.64;19.58;5.87;24.54;0.9;13.6;3.3;1128.99;185.18;305.03;29.34;42.75;3.6;0;31;
4897;43.9543;-0.9;REF;12.68;19.63;5.9;24.62;0.9;13.7;3.4;1124.81;182.29;305.24;29.52;42.58;3.6;0;27;
4898;43.9572;-0.8005;REF;12.76;19.73;5.95;24.76;1;14.4;3.5;1115.02;180.66;303.75;29.04;41.8;3.6;0;34;
4899;43.96;-0.701;REF;13;20.32;5.86;25.36;1.3;17.4;4.1;984.85;177.39;250.5;25.69;39.29;3.6;0;42;
4900;43.9628;-0.6015;REF;13.01;20.34;5.87;25.38;1.3;17.5;4;982.61;177.44;250.58;25.82;38.75;3.6;0;47;
4901;43.9654;-0.502;REF;12.6;20.06;5.42;25.57;1.9;19.3;2.4;910.5;172.69;234.29;23.75;35.79;3.5;0;57;
4902;43.968;-0.4025;REF;12.52;19.95;5.37;25.4;1.8;18.3;2.2;916.8;175.8;237.32;23.93;34.91;3.6;0;68;
4903;43.9704;-0.303;REF;12.4;19.8;5.28;25.17;1.7;17.2;2.4;926.1;178.11;238.77;23.74;35.81;3.6;0;66;
4904;43.9728;-0.2034;REF;12.83;20.21;5.7;25.26;1.8;17.1;4.3;852.28;162.53;212.88;22.98;33.9;3.6;0;84;
4905;43.9751;-0.1039;REF;12.73;20.08;5.64;25.03;1.6;16.1;4.8;860.79;165.38;213.56;23.06;34.21;3.6;0;73;
4906;43.9773;-0.0043;REF;12.63;19.94;5.58;24.8;1.5;15;5.1;867.32;168.42;217.58;22.86;34.47;3.5;0;72;
5036;44.0136;-1.3024;REF;13.53;19.79;7.27;23.67;0.3;7.7;6.6;1149.96;194.51;304.62;29.91;41.81;3.5;0;54;
5037;44.0168;-1.2028;REF;13.48;19.73;7.23;23.58;0.3;7.5;6.5;1154.32;195.29;305.61;30.02;41.95;3.5;0;30;
5038;44.02;-1.1032;REF;12.76;19.72;5.96;24.78;0.9;14.6;3.2;1120.35;183.29;300.57;28.98;41.47;3.5;0;34;
5039;44.0231;-1.0037;REF;12.68;19.63;5.9;24.62;1;13.9;3.3;1124.57;184.48;302.23;29.21;41.58;3.6;0;26;
5040;44.0261;-0.9041;REF;12.71;19.67;5.92;24.67;0.9;14.1;3.1;1122.01;184.18;302.35;29.29;41.5;3.6;0;23;
5041;44.0291;-0.8045;REF;12.54;19.63;5.69;24.89;1.7;16.3;1.9;1032.08;182.49;271.88;27.38;42.41;3.5;0;35;
5042;44.0319;-0.7049;REF;12.48;19.91;5.35;25.35;1.8;18.1;2.1;921.8;177.82;234.28;23.88;36.48;3.5;0;54;
5043;44.0346;-0.6052;REF;12.5;19.93;5.36;25.38;1.8;18.2;2;920.59;178.25;234.51;23.89;36.07;3.6;0;50;
5044;44.0373;-0.5056;REF;12.48;19.91;5.34;25.35;1.8;18.1;2.1;919.72;178.79;237.97;23.98;35.89;3.6;0;59;
